neurons,neuros2,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
13,11,4,0.9,saved_models/model_U13_U211_TS4_L2-0.9.keras,0.9302738904953003,0.00537938391789794,0.9079589247703552,0.012849686667323112,0.7413721084594727,0.014065169729292393
13,11,3,0.1,saved_models/model_U13_U211_TS3_L2-0.1.keras,0.908234715461731,0.007076497655361891,0.8954958319664001,0.014579005539417267,0.7403160333633423,0.014115658588707447
15,14,3,0.1,saved_models/model_U15_U214_TS3_L2-0.1.keras,0.9201884865760803,0.006154682487249374,0.8959293365478516,0.014518524520099163,0.7400978803634644,0.014127517119050026
17,12,3,0.9,saved_models/model_U17_U212_TS3_L2-0.9.keras,0.9366539120674133,0.004884947091341019,0.8965842723846436,0.01442716084420681,0.7392723560333252,0.014172391965985298
10,5,3,0.9,saved_models/model_U10_U25_TS3_L2-0.9.keras,0.9139450192451477,0.006636148318648338,0.9020366072654724,0.013666525483131409,0.7385073900222778,0.01421397365629673
14,12,3,0.9,saved_models/model_U14_U212_TS3_L2-0.9.keras,0.9152637720108032,0.006534453481435776,0.890808641910553,0.015232892706990242,0.7381175756454468,0.014235162176191807
12,6,3,0.1,saved_models/model_U12_U26_TS3_L2-0.1.keras,0.9589317440986633,0.0031669887248426676,0.8745913505554199,0.01749531179666519,0.7377959489822388,0.014252645894885063
10,5,4,0.1,saved_models/model_U10_U25_TS4_L2-0.1.keras,0.9687145352363586,0.0024136784486472607,0.9176278114318848,0.011499829590320587,0.73631751537323,0.014340057969093323
11,2,3,0.9,saved_models/model_U11_U22_TS3_L2-0.9.keras,0.9422678351402283,0.004452028311789036,0.9033769369125366,0.01347954012453556,0.7358623743057251,0.014357749372720718
11,6,4,0.1,saved_models/model_U11_U26_TS4_L2-0.1.keras,0.9149183630943298,0.006564068607985973,0.8887028098106384,0.015537995845079422,0.7354256510734558,0.014388563111424446
12,7,4,0.9,saved_models/model_U12_U27_TS4_L2-0.9.keras,0.9116373658180237,0.006817196030169725,0.8931191563606262,0.01492143515497446,0.7334665060043335,0.01449510920792818
11,6,3,0.9,saved_models/model_U11_U26_TS3_L2-0.9.keras,0.9342375993728638,0.005071281921118498,0.8629457950592041,0.01911993883550167,0.7304918766021729,0.01464967243373394
12,7,3,0.9,saved_models/model_U12_U27_TS3_L2-0.9.keras,0.9365934133529663,0.004889613948762417,0.8927788734436035,0.0149580342695117,0.7254197597503662,0.014925378374755383
12,6,4,0.9,saved_models/model_U12_U26_TS4_L2-0.9.keras,0.9302505254745483,0.005381185561418533,0.9040849208831787,0.01339052151888609,0.7253117561340332,0.0149385966360569
12,7,3,0.1,saved_models/model_U12_U27_TS3_L2-0.1.keras,0.9207683205604553,0.006109966896474361,0.8892686367034912,0.01544773206114769,0.7243316769599915,0.014984522014856339
14,12,3,0.1,saved_models/model_U14_U212_TS3_L2-0.1.keras,0.9123926162719727,0.006755863316357136,0.8976297974586487,0.014281303621828556,0.7196430563926697,0.015239382162690163
12,11,4,0.9,saved_models/model_U12_U211_TS4_L2-0.9.keras,0.9684633612632751,0.0024330569431185722,0.8965134620666504,0.014447560533881187,0.7112716436386108,0.015702148899435997
10,5,4,0.9,saved_models/model_U10_U25_TS4_L2-0.9.keras,0.9213029146194458,0.00607149675488472,0.8657171726226807,0.01874697580933571,0.6884669065475464,0.016942359507083893
